generation_id,created_at,cost_total,cost_web_search,cost_cache,cost_file_processing,byok_usage_inference,tokens_prompt,tokens_completion,tokens_reasoning,tokens_cached,model_permaslug,provider_name,variant,cancelled,streamed,user,finish_reason_raw,finish_reason_normalized,generation_time_ms,time_to_first_token_ms,api_key_disabled,api_key_name,app_name
gen-1788566492-LYSZRi9Yu193q4d9bE1r,2026-09-05 00:01:32.825,0.001354,,-0.003248,,0,67989,1023,309,66304,deepseek/deepseek-v4-flash-20260731,Relace,standard,false,true,,tool_calls,tool_calls,6033,889,false,hermes-ppn,Hermes Agent
gen-1788566481-EHHzng3hq4PzB6QtxJAP,2026-09-05 00:01:21.045,0.004494,,,,0,65071,1473,1410,0,deepseek/deepseek-v4-flash-20260731,Relace,standard,false,true,,tool_calls,tool_calls,11514,2829,false,hermes-ppn,Hermes Agent
gen-1788566470-TPHQrasE8YhKuAApDbwG,2026-09-05 00:01:10.059,0.001496,,-0.003462,,0,70813,1978,986,70656,deepseek/deepseek-v4-flash-20260731,Relace,standard,false,true,,stop,stop,10612,900,false,hermes-ppn,Hermes Agent
gen-1788566466-BButw6seM3I3hcEz9W5T,2026-09-05 00:01:06.509,0.002987,,,,0,758,645,643,0,google/gemini-3.6-flash-20260721,Google,standard,false,true,,STOP,stop,3286,1268,false,hermes-ppn,Hermes Agent
gen-1788566462-okIR0cL72zCUfv8WRQg3,2026-09-05 00:01:02.719,0.001246,,-0.003411,,0,70089,569,102,69632,deepseek/deepseek-v4-flash-20260731,Relace,standard,false,true,,tool_calls,tool_calls,3062,888,false,hermes-ppn,Hermes Agent
gen-1788566461-azXqfBZp2ZLDbvTfQTdK,2026-09-05 00:01:01.197,0.000962,,,,0,878,81,79,0,google/gemini-3.6-flash-20260721,Google,standard,false,true,,STOP,stop,1238,1192,false,hermes-ppn,Hermes Agent
gen-1788566451-3oPJCDvWIfKmMDdRmjhM,2026-09-05 00:00:51.484,0.001404,,-0.003324,,0,68175,1649,869,67840,deepseek/deepseek-v4-flash-20260731,Relace,standard,false,true,,tool_calls,tool_calls,8676,933,false,hermes-ppn,Hermes Agent
gen-1788566447-q0my9dmisizw9Jwt7gCf,2026-09-05 00:00:47.413,0.001896,,,,0,519,402,400,0,google/gemini-3.6-flash-20260721,Google,standard,false,true,,STOP,stop,3465,1545,false,hermes-ppn,Hermes Agent
gen-1788566442-ej9xXlL5iZuRDnzupCkT,2026-09-05 00:00:42.581,0.001212,,-0.003261,,0,67410,511,190,66560,deepseek/deepseek-v4-flash-20260731,Relace,standard,false,true,,tool_calls,tool_calls,3929,918,false,hermes-ppn,Hermes Agent
gen-1788566437-MprCOR5JzmN3alPrKiia,2026-09-05 00:00:37.195,0.001426,,,,0,507,279,277,0,google/gemini-3.6-flash-20260721,Google,standard,false,true,,STOP,stop,2329,1608,false,hermes-ppn,Hermes Agent
